ID	Gene Name	Species	GOTERM_BP_DIRECT
CYP27B1	cytochrome P450 family 27 subfamily B member 1(CYP27B1)	Homo sapiens	GO:0006766~vitamin metabolic process,GO:0006816~calcium ion transport,GO:0008285~negative regulation of cell proliferation,GO:0010956~negative regulation of calcidiol 1-monooxygenase activity,GO:0010980~positive regulation of vitamin D 24-hydroxylase activity,GO:0030282~bone mineralization,GO:0030308~negative regulation of cell growth,GO:0030500~regulation of bone mineralization,GO:0032496~response to lipopolysaccharide,GO:0033280~response to vitamin D,GO:0034341~response to interferon-gamma,GO:0036378~calcitriol biosynthetic process from calciol,GO:0042359~vitamin D metabolic process,GO:0042369~vitamin D catabolic process,GO:0043627~response to estrogen,GO:0045618~positive regulation of keratinocyte differentiation,GO:0046697~decidualization,GO:0055074~calcium ion homeostasis,GO:0055114~oxidation-reduction process,GO:0070314~G1 to G0 transition,GO:0070564~positive regulation of vitamin D receptor signaling pathway,
CYP4F2	cytochrome P450 family 4 subfamily F member 2(CYP4F2)	Homo sapiens	GO:0000038~very long-chain fatty acid metabolic process,GO:0001676~long-chain fatty acid metabolic process,GO:0003091~renal water homeostasis,GO:0003095~pressure natriuresis,GO:0006690~icosanoid metabolic process,GO:0006691~leukotriene metabolic process,GO:0007596~blood coagulation,GO:0008217~regulation of blood pressure,GO:0017144~drug metabolic process,GO:0019369~arachidonic acid metabolic process,GO:0019373~epoxygenase P450 pathway,GO:0032304~negative regulation of icosanoid secretion,GO:0032305~positive regulation of icosanoid secretion,GO:0036101~leukotriene B4 catabolic process,GO:0042360~vitamin E metabolic process,GO:0042361~menaquinone catabolic process,GO:0042376~phylloquinone catabolic process,GO:0042377~vitamin K catabolic process,GO:0055078~sodium ion homeostasis,GO:0055114~oxidation-reduction process,GO:0097267~omega-hydroxylase P450 pathway,
CLNK	cytokine dependent hematopoietic cell linker(CLNK)	Homo sapiens	GO:0006955~immune response,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0009967~positive regulation of signal transduction,GO:0035556~intracellular signal transduction,
DEFB1	defensin beta 1(DEFB1)	Homo sapiens	GO:0002227~innate immune response in mucosa,GO:0002526~acute inflammatory response,GO:0006935~chemotaxis,GO:0006955~immune response,GO:0007186~G-protein coupled receptor signaling pathway,GO:0009617~response to bacterium,GO:0019731~antibacterial humoral response,GO:0019933~cAMP-mediated signaling,GO:0033574~response to testosterone,GO:0035584~calcium-mediated signaling using intracellular calcium source,GO:0042742~defense response to bacterium,GO:0045087~innate immune response,GO:0050829~defense response to Gram-negative bacterium,GO:0050830~defense response to Gram-positive bacterium,GO:0060474~positive regulation of sperm motility involved in capacitation,
DIO1	deiodinase, iodothyronine type I(DIO1)	Homo sapiens	GO:0006590~thyroid hormone generation,GO:0042446~hormone biosynthetic process,GO:0055114~oxidation-reduction process,
DNER	delta/notch like EGF repeat containing(DNER)	Homo sapiens	GO:0001764~neuron migration,GO:0006897~endocytosis,GO:0007219~Notch signaling pathway,GO:0007220~Notch receptor processing,GO:0007416~synapse assembly,GO:0007417~central nervous system development,GO:0010001~glial cell differentiation,GO:0048741~skeletal muscle fiber development,
DDN	dendrin(DDN)	Homo sapiens	GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
DES	desmin(DES)	Homo sapiens	GO:0006936~muscle contraction,GO:0007010~cytoskeleton organization,GO:0008016~regulation of heart contraction,GO:0030049~muscle filament sliding,GO:0045109~intermediate filament organization,
DPEP1	dipeptidase 1 (renal)(DPEP1)	Homo sapiens	GO:0006508~proteolysis,GO:0006691~leukotriene metabolic process,GO:0006749~glutathione metabolic process,GO:0006805~xenobiotic metabolic process,GO:0006915~apoptotic process,GO:0016999~antibiotic metabolic process,GO:0030336~negative regulation of cell migration,GO:0035690~cellular response to drug,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0050667~homocysteine metabolic process,GO:0071277~cellular response to calcium ion,GO:0071732~cellular response to nitric oxide,GO:0072340~cellular lactam catabolic process,
DPP10	dipeptidyl peptidase like 10(DPP10)	Homo sapiens	GO:0006508~proteolysis,GO:0072659~protein localization to plasma membrane,GO:0090004~positive regulation of establishment of protein localization to plasma membrane,GO:1901379~regulation of potassium ion transmembrane transport,
DPP6	dipeptidyl peptidase like 6(DPP6)	Homo sapiens	GO:0006508~proteolysis,GO:0072659~protein localization to plasma membrane,GO:1901379~regulation of potassium ion transmembrane transport,
DUSP26	dual specificity phosphatase 26 (putative)(DUSP26)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006470~protein dephosphorylation,GO:0035335~peptidyl-tyrosine dephosphorylation,GO:0044387~negative regulation of protein kinase activity by regulation of protein phosphorylation,GO:0045785~positive regulation of cell adhesion,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:1902310~positive regulation of peptidyl-serine dephosphorylation,
DUSP9	dual specificity phosphatase 9(DUSP9)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000187~activation of MAPK activity,GO:0000188~inactivation of MAPK activity,GO:0006470~protein dephosphorylation,GO:0007254~JNK cascade,GO:0035335~peptidyl-tyrosine dephosphorylation,
ENTPD3	ectonucleoside triphosphate diphosphohydrolase 3(ENTPD3)	Homo sapiens	GO:0009134~nucleoside diphosphate catabolic process,GO:0009143~nucleoside triphosphate catabolic process,
ENPP6	ectonucleotide pyrophosphatase/phosphodiesterase 6(ENPP6)	Homo sapiens	GO:0006629~lipid metabolic process,GO:0008152~metabolic process,GO:0019695~choline metabolic process,GO:0046475~glycerophospholipid catabolic process,
ERP27	endoplasmic reticulum protein 27(ERP27)	Homo sapiens	GO:0006457~protein folding,GO:0034976~response to endoplasmic reticulum stress,
EGF	epidermal growth factor(EGF)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000186~activation of MAPKK activity,GO:0000187~activation of MAPK activity,GO:0001525~angiogenesis,GO:0002576~platelet degranulation,GO:0006260~DNA replication,GO:0007165~signal transduction,GO:0007171~activation of transmembrane receptor protein tyrosine kinase activity,GO:0007173~epidermal growth factor receptor signaling pathway,GO:0007262~STAT protein import into nucleus,GO:0008284~positive regulation of cell proliferation,GO:0010800~positive regulation of peptidyl-threonine phosphorylation,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0021940~positive regulation of cerebellar granule cell precursor proliferation,GO:0035413~positive regulation of catenin import into nucleus,GO:0038128~ERBB2 signaling pathway,GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway,GO:0042327~positive regulation of phosphorylation,GO:0043388~positive regulation of DNA binding,GO:0043406~positive regulation of MAP kinase activity,GO:0043547~positive regulation of GTPase activity,GO:0044332~Wnt signaling pathway involved in dorsal/ventral axis specification,GO:0045741~positive regulation of epidermal growth factor-activated receptor activity,GO:0045840~positive regulation of mitotic nuclear division,GO:0045893~positive regulation of transcription, DNA-templated,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0048754~branching morphogenesis of an epithelial tube,GO:0051048~negative regulation of secretion,GO:0060070~canonical Wnt signaling pathway,GO:0060749~mammary gland alveolus development,GO:0070371~ERK1 and ERK2 cascade,GO:0090279~regulation of calcium ion import,GO:0090370~negative regulation of cholesterol efflux,GO:1900127~positive regulation of hyaluronan biosynthetic process,GO:2000008~regulation of protein localization to cell surface,GO:2000060~positive regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process,GO:2000145~regulation of cell motility,
EDDM3A	epididymal protein 3A(EDDM3A)	Homo sapiens	GO:0007321~sperm displacement,
ERFE	erythroferrone(ERFE)	Homo sapiens	GO:0006879~cellular iron ion homeostasis,GO:0019217~regulation of fatty acid metabolic process,GO:2000193~positive regulation of fatty acid transport,
ESRRB	estrogen related receptor beta(ESRRB)	Homo sapiens	GO:0001892~embryonic placenta development,GO:0006351~transcription, DNA-templated,GO:0006355~regulation of transcription, DNA-templated,GO:0006367~transcription initiation from RNA polymerase II promoter,GO:0030522~intracellular receptor signaling pathway,GO:0043401~steroid hormone mediated signaling pathway,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
EEF1A2	eukaryotic translation elongation factor 1 alpha 2(EEF1A2)	Homo sapiens	GO:0006414~translational elongation,GO:0010035~response to inorganic substance,GO:0043065~positive regulation of apoptotic process,GO:0051602~response to electrical stimulus,GO:0090218~positive regulation of lipid kinase activity,GO:1904714~regulation of chaperone-mediated autophagy,
EVX1	even-skipped homeobox 1(EVX1)	Homo sapiens	GO:0009792~embryo development ending in birth or egg hatching,GO:0021913~regulation of transcription from RNA polymerase II promoter involved in ventral spinal cord interneuron specification,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,
FABP1	fatty acid binding protein 1(FABP1)	Homo sapiens	GO:0008284~positive regulation of cell proliferation,GO:0015909~long-chain fatty acid transport,GO:0019433~triglyceride catabolic process,GO:0032000~positive regulation of fatty acid beta-oxidation,GO:0043066~negative regulation of apoptotic process,GO:0043154~negative regulation of cysteine-type endopeptidase activity involved in apoptotic process,GO:0044255~cellular lipid metabolic process,GO:0050892~intestinal absorption,GO:0051345~positive regulation of hydrolase activity,GO:0070301~cellular response to hydrogen peroxide,GO:0071456~cellular response to hypoxia,GO:0098869~cellular oxidant detoxification,
FBN3	fibrillin 3(FBN3)	Homo sapiens	GO:0009653~anatomical structure morphogenesis,GO:0090287~regulation of cellular response to growth factor stimulus,
FGF1	fibroblast growth factor 1(FGF1)	Homo sapiens	GO:0000165~MAPK cascade,GO:0000187~activation of MAPK activity,GO:0001525~angiogenesis,GO:0001759~organ induction,GO:0007165~signal transduction,GO:0007275~multicellular organism development,GO:0008283~cell proliferation,GO:0008284~positive regulation of cell proliferation,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0009653~anatomical structure morphogenesis,GO:0010595~positive regulation of endothelial cell migration,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030154~cell differentiation,GO:0030324~lung development,GO:0030335~positive regulation of cell migration,GO:0032148~activation of protein kinase B activity,GO:0034605~cellular response to heat,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0043406~positive regulation of MAP kinase activity,GO:0043547~positive regulation of GTPase activity,GO:0045542~positive regulation of cholesterol biosynthetic process,GO:0045766~positive regulation of angiogenesis,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0050679~positive regulation of epithelial cell proliferation,GO:0051781~positive regulation of cell division,GO:0060681~branch elongation involved in ureteric bud branching,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0072163~mesonephric epithelium development,GO:1901509~regulation of endothelial tube morphogenesis,GO:1902533~positive regulation of intracellular signal transduction,GO:1903672~positive regulation of sprouting angiogenesis,GO:2000544~regulation of endothelial cell chemotaxis to fibroblast growth factor,
FGF9	fibroblast growth factor 9(FGF9)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0000165~MAPK cascade,GO:0001525~angiogenesis,GO:0001649~osteoblast differentiation,GO:0001654~eye development,GO:0002053~positive regulation of mesenchymal cell proliferation,GO:0002062~chondrocyte differentiation,GO:0006606~protein import into nucleus,GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0008584~male gonad development,GO:0010628~positive regulation of gene expression,GO:0014066~regulation of phosphatidylinositol 3-kinase signaling,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0021762~substantia nigra development,GO:0030178~negative regulation of Wnt signaling pathway,GO:0030238~male sex determination,GO:0030326~embryonic limb morphogenesis,GO:0030949~positive regulation of vascular endothelial growth factor receptor signaling pathway,GO:0032927~positive regulation of activin receptor signaling pathway,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0042472~inner ear morphogenesis,GO:0043410~positive regulation of MAPK cascade,GO:0043547~positive regulation of GTPase activity,GO:0045880~positive regulation of smoothened signaling pathway,GO:0046854~phosphatidylinositol phosphorylation,GO:0048015~phosphatidylinositol-mediated signaling,GO:0048505~regulation of timing of cell differentiation,GO:0048566~embryonic digestive tract development,GO:0048706~embryonic skeletal system development,GO:0050679~positive regulation of epithelial cell proliferation,GO:0051781~positive regulation of cell division,GO:0060045~positive regulation of cardiac muscle cell proliferation,GO:0060484~lung-associated mesenchyme development,GO:0090263~positive regulation of canonical Wnt signaling pathway,
