ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
DOCK3	dedicator of cytokinesis 3(DOCK3)	Homo sapiens				GO:0007264~small GTPase mediated signal transduction,GO:0043547~positive regulation of GTPase activity,	GO:0005622~intracellular,GO:0005737~cytoplasm,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,GO:0017124~SH3 domain binding,	IPR001452:Src homology-3 domain,IPR010703:Dedicator of cytokinesis C-terminal,IPR011511:Variant SH3,IPR016024:Armadillo-type fold,IPR026791:Dedicator of cytokinesis,IPR026800:Dedicator of cytokinesis B,IPR027007:DHR-1 domain,IPR027357:DHR-2 domain,				SM00326:SH3,	Chromosomal rearrangement,Coiled coil,Complete proteome,Cytoplasm,Guanine-nucleotide releasing factor,Phosphoprotein,Reference proteome,SH3 domain,SH3-binding,	chain:Dedicator of cytokinesis protein 3,compositionally biased region:Ser-rich,domain:DHR-1,domain:DHR-2,domain:SH3,modified residue,short sequence motif:SH3-binding,
DPYSL4	dihydropyrimidinase like 4(DPYSL4)	Homo sapiens				GO:0007399~nervous system development,GO:0070997~neuron death,GO:0097485~neuron projection guidance,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0005515~protein binding,GO:0016810~hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds,GO:0031005~filamin binding,	IPR006680:Amidohydrolase 1,IPR011059:Metal-dependent hydrolase, composite domain,IPR011778:Hydantoinase/dihydropyrimidinase,					Complete proteome,Cytoplasm,Direct protein sequencing,Methylation,Phosphoprotein,Proteomics identification,Reference proteome,	chain:Dihydropyrimidinase-related protein 4,modified residue,sequence conflict,
DPP6	dipeptidyl peptidase like 6(DPP6)	Homo sapiens				GO:0006508~proteolysis,GO:0072659~protein localization to plasma membrane,GO:1901379~regulation of potassium ion transmembrane transport,	GO:0005886~plasma membrane,GO:0008076~voltage-gated potassium channel complex,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,	GO:0004177~aminopeptidase activity,GO:0008236~serine-type peptidase activity,GO:0008239~dipeptidyl-peptidase activity,GO:0015459~potassium channel regulator activity,	IPR001375:Peptidase S9, prolyl oligopeptidase, catalytic domain,IPR002469:Peptidase S9B, dipeptidylpeptidase IV N-terminal,		612956~Ventricular fibrillation, paroxysmal familial, 2,616311~Mental retardation, autosomal dominant 33,			3D-structure,Alternative splicing,Aminopeptidase,Cell membrane,Complete proteome,Disease mutation,Disulfide bond,Glycoprotein,Hydrolase,Membrane,Mental retardation,Neurodegeneration,Polymorphism,Protease,Proteomics identification,Reference proteome,Signal-anchor,Transmembrane,Transmembrane helix,	chain:Dipeptidyl aminopeptidase-like protein 6,disulfide bond,glycosylation site:N-linked (GlcNAc...),helix,sequence conflict,sequence variant,splice variant,strand,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,turn,
DMRT2	doublesex and mab-3 related transcription factor 2(DMRT2)	Homo sapiens				GO:0006351~transcription, DNA-templated,GO:0007548~sex differentiation,GO:0014807~regulation of somitogenesis,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048706~embryonic skeletal system development,GO:2000287~positive regulation of myotome development,	GO:0005634~nucleus,GO:0016021~integral component of membrane,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0042803~protein homodimerization activity,GO:0043565~sequence-specific DNA binding,GO:0046872~metal ion binding,	IPR001275:DM DNA-binding,IPR026607:DMRT/protein doublesex/protein male abnormal 3,				SM00301:DM,	Alternative splicing,Complete proteome,DNA-binding,Membrane,Metal-binding,Nucleus,Polymorphism,Reference proteome,Transcription,Transcription regulation,Transmembrane,Transmembrane helix,Zinc,	chain:Doublesex- and mab-3-related transcription factor 2,DNA-binding region:DM,
EFNA2	ephrin A2(EFNA2)	Homo sapiens				GO:0007267~cell-cell signaling,GO:0007411~axon guidance,GO:0021772~olfactory bulb development,GO:0030316~osteoclast differentiation,GO:0046849~bone remodeling,GO:0048013~ephrin receptor signaling pathway,	GO:0005576~extracellular region,GO:0005886~plasma membrane,GO:0031225~anchored component of membrane,GO:0031594~neuromuscular junction,GO:0043204~perikaryon,	GO:0046875~ephrin receptor binding,	IPR001799:Ephrin,IPR008972:Cupredoxin,IPR019765:Ephrin, conserved site,	hsa04014:Ras signaling pathway,hsa04015:Rap1 signaling pathway,hsa04151:PI3K-Akt signaling pathway,hsa04360:Axon guidance,				3D-structure,Cell membrane,Complete proteome,Disulfide bond,Glycoprotein,GPI-anchor,Lipoprotein,Membrane,Reference proteome,Signal,	chain:Ephrin-A2,disulfide bond,glycosylation site:N-linked (GlcNAc...),lipid moiety-binding region:GPI-anchor amidated asparagine,propeptide:Removed in mature form,sequence conflict,signal peptide,
EPB41L4B	erythrocyte membrane protein band 4.1 like 4B(EPB41L4B)	Homo sapiens				GO:0010628~positive regulation of gene expression,GO:0010837~regulation of keratinocyte proliferation,GO:0031032~actomyosin structure organization,GO:0042060~wound healing,GO:0045785~positive regulation of cell adhesion,GO:0051549~positive regulation of keratinocyte migration,	GO:0005737~cytoplasm,GO:0005856~cytoskeleton,GO:0005923~bicellular tight junction,GO:0019898~extrinsic component of membrane,GO:0045177~apical part of cell,	GO:0005200~structural constituent of cytoskeleton,GO:0008092~cytoskeletal protein binding,	IPR000299:FERM domain,IPR000798:Ezrin/radixin/moesin like,IPR011993:Pleckstrin homology-like domain,IPR014352:FERM/acyl-CoA-binding protein, 3-helical bundle,IPR014847:FERM adjacent (FA),IPR018979:FERM, N-terminal,IPR018980:FERM, C-terminal PH-like domain,IPR019747:FERM conserved site,IPR019748:FERM central domain,IPR019749:Band 4.1 domain,				SM00295:B41,SM01195:SM01195,SM01196:SM01196,	Alternative splicing,Cell junction,Complete proteome,Cytoplasm,Phosphoprotein,Polymorphism,Reference proteome,Tight junction,	chain:Band 4.1-like protein 4B,compositionally biased region:His-rich,domain:FERM,sequence conflict,sequence variant,splice variant,
FAM151A	family with sequence similarity 151 member A(FAM151A)	Homo sapiens					GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0070062~extracellular exosome,		IPR019356:Protein of unknown function DUF2181,					Alternative splicing,Complete proteome,Membrane,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Protein FAM151A,sequence conflict,sequence variant,splice variant,transmembrane region,
FGFBP1	fibroblast growth factor binding protein 1(FGFBP1)	Homo sapiens				GO:0007165~signal transduction,GO:0007267~cell-cell signaling,GO:0008284~positive regulation of cell proliferation,GO:0008285~negative regulation of cell proliferation,GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0045743~positive regulation of fibroblast growth factor receptor signaling pathway,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0005886~plasma membrane,GO:0009986~cell surface,	GO:0005515~protein binding,GO:0008201~heparin binding,GO:0017134~fibroblast growth factor binding,	IPR010510:FGF binding 1,					Cell membrane,Complete proteome,Direct protein sequencing,Disulfide bond,Glycoprotein,Growth factor binding,Membrane,Reference proteome,Secreted,Signal,	chain:Fibroblast growth factor-binding protein 1,disulfide bond,glycosylation site:O-linked (GalNAc...),mutagenesis site,region of interest:Sufficient for interaction with FGF2 and FGF2-induced effects,signal peptide,
FOXI1	forkhead box I1(FOXI1)	Homo sapiens				GO:0006366~transcription from RNA polymerase II promoter,GO:0009790~embryo development,GO:0042472~inner ear morphogenesis,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001077~transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0008301~DNA binding, bending,GO:0043565~sequence-specific DNA binding,GO:0044212~transcription regulatory region DNA binding,	IPR001766:Transcription factor, fork head,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR018122:Transcription factor, fork head, conserved site,		600791~Enlarged vestibular aqueduct,		SM00339:FH,	Activator,Alternative splicing,Complete proteome,DNA-binding,Nucleus,Polymorphism,Reference proteome,Transcription,Transcription regulation,	chain:Forkhead box protein I1,compositionally biased region:Pro-rich,DNA-binding region:Fork-head,sequence conflict,sequence variant,splice variant,
FRZB	frizzled-related protein(FRZB)	Homo sapiens				GO:0001501~skeletal system development,GO:0007186~G-protein coupled receptor signaling pathway,GO:0007275~multicellular organism development,GO:0008285~negative regulation of cell proliferation,GO:0010721~negative regulation of cell development,GO:0014033~neural crest cell differentiation,GO:0016055~Wnt signaling pathway,GO:0030178~negative regulation of Wnt signaling pathway,GO:0030308~negative regulation of cell growth,GO:0035567~non-canonical Wnt signaling pathway,GO:0043065~positive regulation of apoptotic process,GO:0045600~positive regulation of fat cell differentiation,GO:0060029~convergent extension involved in organogenesis,GO:0061037~negative regulation of cartilage development,GO:0061053~somite development,GO:0070367~negative regulation of hepatocyte differentiation,GO:0090090~negative regulation of canonical Wnt signaling pathway,GO:0090103~cochlea morphogenesis,	GO:0005576~extracellular region,GO:0005615~extracellular space,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0004930~G-protein coupled receptor activity,GO:0017147~Wnt-protein binding,GO:0042813~Wnt-activated receptor activity,	IPR001134:Netrin domain,IPR008993:Tissue inhibitor of metalloproteinases-like, OB-fold,IPR015526:Frizzled/secreted frizzled-related protein,IPR018933:Netrin module, non-TIMP type,IPR020067:Frizzled domain,IPR026556:Secreted frizzled-related protein 3,		165720~Osteoarthritis susceptibility 1,		SM00063:FRI,SM00643:C345C,	Complete proteome,Developmental protein,Differentiation,Direct protein sequencing,Disease mutation,Disulfide bond,Glycoprotein,Polymorphism,Reference proteome,Secreted,Signal,Wnt signaling pathway,	chain:Secreted frizzled-related protein 3,compositionally biased region:Ser-rich,disulfide bond,domain:FZ,domain:NTR,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,signal peptide,
GAL3ST3	galactose-3-O-sulfotransferase 3(GAL3ST3)	Homo sapiens				GO:0005996~monosaccharide metabolic process,GO:0006790~sulfur compound metabolic process,GO:0009247~glycolipid biosynthetic process,GO:0009311~oligosaccharide metabolic process,GO:0030166~proteoglycan biosynthetic process,GO:0030309~poly-N-acetyllactosamine metabolic process,	GO:0016021~integral component of membrane,GO:0032580~Golgi cisterna membrane,	GO:0001733~galactosylceramide sulfotransferase activity,GO:0030246~carbohydrate binding,GO:0050656~3'-phosphoadenosine 5'-phosphosulfate binding,GO:0050694~galactose 3-O-sulfotransferase activity,GO:0050698~proteoglycan sulfotransferase activity,	IPR009729:Galactose-3-O-sulfotransferase,IPR027417:P-loop containing nucleoside triphosphate hydrolase,					Complete proteome,Glycoprotein,Golgi apparatus,Magnesium,Membrane,Polymorphism,Reference proteome,Signal-anchor,Transferase,Transmembrane,Transmembrane helix,	chain:Galactose-3-O-sulfotransferase 3,glycosylation site:N-linked (GlcNAc...),sequence variant,topological domain:Cytoplasmic,topological domain:Lumenal,transmembrane region,
GABRB2	gamma-aminobutyric acid type A receptor beta2 subunit(GABRB2)	Homo sapiens				GO:0006810~transport,GO:0006811~ion transport,GO:0007214~gamma-aminobutyric acid signaling pathway,GO:0007268~chemical synaptic transmission,GO:0007605~sensory perception of sound,GO:0034220~ion transmembrane transport,GO:0043524~negative regulation of neuron apoptotic process,GO:0051932~synaptic transmission, GABAergic,GO:0060119~inner ear receptor cell development,GO:0060384~innervation,GO:0071420~cellular response to histamine,GO:0090102~cochlea development,GO:1902476~chloride transmembrane transport,	GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0016021~integral component of membrane,GO:0030054~cell junction,GO:0034707~chloride channel complex,GO:0045202~synapse,GO:0045211~postsynaptic membrane,GO:0070062~extracellular exosome,GO:1902711~GABA-A receptor complex,	GO:0004890~GABA-A receptor activity,GO:0005230~extracellular ligand-gated ion channel activity,GO:0005237~inhibitory extracellular ligand-gated ion channel activity,GO:0005254~chloride channel activity,	IPR002289:Gamma-aminobutyric-acid A receptor, beta subunit,IPR006028:Gamma-aminobutyric acid A receptor,IPR006029:Neurotransmitter-gated ion-channel transmembrane domain,IPR006201:Neurotransmitter-gated ion-channel,IPR006202:Neurotransmitter-gated ion-channel ligand-binding,IPR018000:Neurotransmitter-gated ion-channel, conserved site,	hsa04080:Neuroactive ligand-receptor interaction,hsa04723:Retrograde endocannabinoid signaling,hsa04726:Serotonergic synapse,hsa04727:GABAergic synapse,hsa05032:Morphine addiction,hsa05033:Nicotine addiction,				Alternative splicing,Cell junction,Cell membrane,Chloride,Chloride channel,Complete proteome,Disulfide bond,Glycoprotein,Ion channel,Ion transport,Isopeptide bond,Ligand-gated ion channel,Membrane,Phosphoprotein,Postsynaptic cell membrane,Proteomics identification,Receptor,Reference proteome,Signal,Synapse,Transmembrane,Transmembrane helix,Transport,	chain:Gamma-aminobutyric acid receptor subunit beta-2,cross-link:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),disulfide bond,glycosylation site:N-linked (GlcNAc...),modified residue,signal peptide,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
GGT6	gamma-glutamyltransferase 6(GGT6)	Homo sapiens				GO:0006508~proteolysis,GO:0006749~glutathione metabolic process,GO:0006750~glutathione biosynthetic process,GO:0019370~leukotriene biosynthetic process,	GO:0016021~integral component of membrane,GO:0031362~anchored component of external side of plasma membrane,GO:0070062~extracellular exosome,	GO:0003840~gamma-glutamyltransferase activity,GO:0036374~glutathione hydrolase activity,	IPR000101:Gamma-glutamyltranspeptidase,	hsa00430:Taurine and hypotaurine metabolism,hsa00460:Cyanoamino acid metabolism,hsa00480:Glutathione metabolism,hsa01100:Metabolic pathways,				Acyltransferase,Alternative splicing,Complete proteome,Glutathione biosynthesis,Glycoprotein,Hydrolase,Membrane,Polymorphism,Proteomics identification,Reference proteome,Signal-anchor,Transferase,Transmembrane,Transmembrane helix,Zymogen,	chain:Gamma-glutamyltransferase 6 heavy chain,chain:Gamma-glutamyltransferase 6 light chain,compositionally biased region:Poly-Glu,glycosylation site:N-linked (GlcNAc...),sequence variant,splice variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
GJB3	gap junction protein beta 3(GJB3)	Homo sapiens				GO:0001701~in utero embryonic development,GO:0001890~placenta development,GO:0007154~cell communication,GO:0007605~sensory perception of sound,GO:0043588~skin development,GO:0055085~transmembrane transport,	GO:0005737~cytoplasm,GO:0005921~gap junction,GO:0005922~connexon complex,GO:0016021~integral component of membrane,	GO:0005243~gap junction channel activity,	IPR000500:Connexin,IPR002269:Gap junction beta-3 protein (Cx31),IPR013092:Connexin, N-terminal,IPR017990:Connexin, conserved site,IPR019570:Gap junction protein, cysteine-rich domain,		133200~Erythrokeratodermia variabilis et progressiva,220290~Deafness, digenic, GJB2/GJB3,612644~Deafness, autosomal dominant 2B,Deafness, autosomal dominant, with peripheral neuropathy~Deafness, autosomal dominant, with peripheral neuropathy,Deafness, autosomal recessive~Deafness, autosomal recessive,		SM00037:CNX,SM01089:SM01089,	Cell junction,Cell membrane,Complete proteome,Deafness,Disease mutation,Gap junction,Membrane,Non-syndromic deafness,Palmoplantar keratoderma,Polymorphism,Reference proteome,Transmembrane,Transmembrane helix,	chain:Gap junction beta-3 protein,sequence variant,topological domain:Cytoplasmic,topological domain:Extracellular,transmembrane region,
